15,22,141,17,5,1124
29,15,181,8,1,1403
21,25,169,12,3,572
13,10,154,10,6,228
6,14,156,8,0,680
25,29,198,18,5,1234
12,4,191,19,0,275
27,13,127,10,5,550
2,14,170,21,2,424
18,22,162,17,2,2655
5,4,192,16,6,345
4,10,185,17,3,1252
9,8,187,7,4,229
8,28,133,17,2,1099
0,0,191,17,2,976
5,25,143,17,0,448
0,22,145,19,1,298
10,23,108,16,5,1546
11,1,121,11,4,144
4,11,187,18,3,139
18,17,120,10,1,663
29,12,156,7,1,1335
1,4,106,16,4,696
6,8,131,6,0,277
3,6,195,10,4,226
25,19,145,18,4,668
10,28,181,12,2,1586
17,29,116,21,4,513
12,19,179,22,6,1083
22,11,178,17,2,833
0,29,105,16,6,558
14,24,100,16,1,443
5,11,151,21,0,2018
14,13,124,17,3,314
0,23,134,16,2,786
20,16,153,15,3,7549
23,8,181,16,3,767
6,14,176,5,2,434
1,29,123,17,2,794
8,24,199,17,2,501
19,12,114,16,3,707
25,0,118,9,5,787
19,26,149,20,6,510
1,20,148,17,1,836
8,26,119,17,3,721
14,6,120,18,1,345
18,20,148,18,1,535
21,24,129,12,2,1075
27,29,137,20,1,321
6,14,140,9,3,391
23,20,185,13,3,160
20,11,105,9,4,751
12,20,136,7,3,816
7,1,167,15,5,1200
22,18,159,17,0,1108
4,26,180,18,1,420
13,10,179,17,4,254
8,24,140,9,3,373
29,14,150,22,5,2714
1,21,100,6,1,513
11,24,150,6,1,799
6,12,145,20,2,1601
13,10,144,18,4,301
14,13,198,17,1,311
11,24,146,16,3,410
24,28,199,17,1,1299
25,29,124,17,3,452
24,29,154,0,3,203
19,16,111,9,0,689
13,2,122,17,6,117
14,11,126,8,1,1367
27,14,106,21,2,1219
18,20,109,13,5,460
15,24,150,19,6,2436
11,7,100,8,1,230
17,17,183,17,1,559
24,23,192,9,4,280
4,9,146,8,1,274
7,0,129,17,4,1290
16,8,167,12,1,1055
21,21,170,15,5,1054
15,14,179,12,2,774
12,21,179,7,0,402
25,18,116,11,1,1722
13,1,131,16,4,414
21,18,141,8,1,577
14,13,113,15,0,178
4,11,181,8,4,669
10,5,165,16,3,861
3,22,104,18,2,338
21,5,134,19,3,347
2,22,199,13,4,1218
12,22,113,6,3,803
23,5,131,13,1,1995
0,11,152,15,1,872
23,15,188,18,1,231
26,29,124,16,5,204
25,19,197,17,1,342
13,1,160,17,0,619
0,6,198,16,4,162
1,0,141,18,6,923
10,7,145,16,1,1006
17,17,152,8,2,582
23,9,192,13,5,6239
27,5,137,16,2,474
10,15,176,18,2,791
3,4,139,12,1,758
29,14,137,6,3,302
23,28,112,17,3,1227
5,8,126,7,3,1457
3,0,142,15,4,229
12,3,157,12,1,1096
7,8,161,18,1,646
7,3,185,13,0,2642
14,8,184,17,2,179
4,24,141,22,1,602
14,13,117,9,4,359
12,14,135,19,3,463
22,7,141,17,0,1257
13,28,165,10,5,505
20,8,107,8,3,2308
22,20,148,17,2,1187
2,2,156,13,4,334
0,0,198,14,0,1525
22,22,144,21,2,1488
4,24,176,8,1,1247
2,25,168,7,0,400
1,22,156,17,5,718
7,17,199,14,2,414
17,1,112,17,3,2014
8,0,119,10,1,169
3,24,159,17,3,387
5,5,176,13,4,7206
29,14,124,8,1,663
25,12,111,18,0,1068
23,13,102,12,6,1184
8,1,121,17,2,150
8,27,170,18,0,931
3,26,141,7,4,1380
17,10,182,9,1,261
7,10,124,21,1,1226
14,4,112,16,5,163
13,14,165,8,4,218
27,9,195,13,5,1106
10,16,114,9,0,465
6,12,107,17,3,217
1,20,153,13,6,269
22,0,126,17,3,1275
27,24,146,16,4,627
4,12,112,14,6,403
21,17,149,8,1,843
17,20,146,12,6,908
1,10,177,6,4,356
3,26,159,0,6,971
5,17,106,8,3,814
25,13,186,13,5,606
14,24,184,17,1,569
20,8,185,19,4,247
14,1,141,8,0,984
2,1,147,12,0,1043
0,1,125,18,0,215
5,13,156,17,5,1594
18,19,133,7,4,1015
12,3,180,8,0,1088
22,21,153,16,2,342
20,1,180,11,2,425
10,8,119,17,1,321
16,22,161,8,2,1716
27,16,155,14,0,465
16,23,167,13,3,278
26,17,159,16,3,505
2,2,102,7,4,363
20,20,119,9,3,189
17,13,173,5,2,292
13,24,134,17,2,361
29,0,142,18,2,400
10,20,108,6,0,1399
23,20,164,16,2,452
13,24,103,8,3,163
5,22,125,15,3,293
22,18,190,17,0,518
11,22,134,11,1,626
8,18,166,15,0,784
21,26,125,15,0,383
7,5,100,22,3,386
22,6,198,16,1,832
18,22,187,7,3,482
3,1,194,10,6,724
15,1,151,16,3,650
4,23,187,6,4,588
27,3,170,17,2,414
8,16,160,7,0,277
12,24,185,10,2,652
17,7,164,17,2,1856
12,10,170,17,2,2019
23,6,160,18,0,336
19,21,199,8,1,1826
9,21,177,8,2,1783
13,17,153,15,0,4543
27,25,157,18,0,1719
27,1,198,6,3,252
17,24,103,19,4,822
17,12,184,17,0,634
13,8,157,11,1,379
19,12,131,13,4,761
16,3,130,17,4,1232
22,20,135,15,4,495
17,16,199,15,4,377
5,4,114,16,3,2236
23,2,179,16,1,287
1,21,168,15,4,325
24,8,110,18,0,458
26,24,121,8,5,327
8,11,142,17,1,570
12,13,125,9,2,358
3,0,102,13,3,280
9,10,148,10,5,260
22,4,146,10,5,1765
24,13,119,17,1,231
17,8,174,16,3,256
8,13,130,15,0,378
13,22,111,7,4,1877
14,14,140,6,0,326
24,17,132,11,5,348
11,12,194,17,3,382
24,14,184,12,4,346
29,28,146,17,3,452
1,13,162,8,4,503
4,13,165,11,5,446
6,3,110,9,4,238
14,1,193,10,5,463
9,6,158,7,2,1296
19,7,106,14,1,1183
15,28,181,9,2,593
25,6,140,15,2,1693
14,24,161,20,5,491
18,12,151,18,3,507
